City_Market_ID,City_Name,State_NM
32575,"Long Beach, CA",California
30325,"Denver, CO",Colorado
32457,"San Francisco, CA",California
31423,"Des Moines, IA",Iowa
31315,"Dickinson, ND",North Dakota
31503,"Eagle, CO",Colorado
31123,"St. Louis, MO",Missouri
32544,"CONCORD, NC",North Carolina
30397,"Atlanta, GA",Georgia
30189,"Colorado Springs, CO",Colorado
32211,"Las Vegas, NV",Nevada
30372,"Aspen, CO",Colorado
32575,"Burbank, CA",California
34614,"Salt Lake City, UT",Utah
34100,"Philadelphia, PA",Pennsylvania
31122,"Casper, WY",Wyoming
31295,"Detroit, MI",Michigan
31650,"Minneapolis, MN",Minnesota
33851,"Oklahoma City, OK",Oklahoma
30529,"Hartford, CT",Connecticut
32457,"Oakland, CA",California
30558,"Scottsbluff, NE",Nebraska
33198,"Kansas City, MO",Missouri
31233,"Cheyenne, WY",Wyoming
30194,"Dallas, TX",Texas
32457,"San Jose, CA",California
30423,"Austin, TX",Texas
31066,"Columbus, OH",Ohio
34792,"Sugar Land, TX",Texas
30466,"Phoenix, AZ",Arizona
30747,"Brownsville, TX",Texas
31563,"Wendover, UT",Utah
31921,"Grand Junction, CO",Colorado
34576,"Rochester, NY",New York
34653,"Tulsa, OK",Oklahoma
30977,"Chicago, IL",Illinois
34570,"Reno, NV",Nevada
31719,"Fort Collins/Loveland, CO",Colorado
30590,"Bullhead City, AZ",Arizona
33502,"Montrose/Delta, CO",Colorado
34288,"Pueblo, CO",Colorado
31840,"Gadsden, AL",Alabama
33105,"Cincinnati, OH",Kentucky
30559,"Seattle, WA",Washington
31283,"Dodge City, KS",Kansas
31468,"Kearney, NE",Nebraska
32899,"North Platte, NE",Nebraska
32902,"Liberal, KS",Kansas
32389,"Williston, ND",North Dakota
31454,"Orlando, FL",Florida
34492,"Raleigh/Durham, NC",North Carolina
31986,"Grand Rapids, MI",Michigan
31097,"Cody, WY",Wyoming
30852,"Washington, DC",Virginia
30194,"Dallas/Fort Worth, TX",Texas
31453,"Houston, TX",Texas
32441,"Jackson, WY",Wyoming
32888,"Laramie, WY",Wyoming
32575,"Los Angeles, CA",California
32600,"Little Rock, AR",Arkansas
33264,"Medford, OR",Oregon
33486,"Missoula, MT",Montana
34057,"Portland, OR",Oregon
34252,"Pasco/Kennewick/Richland, WA",Washington
33570,"San Diego, CA",California
33214,"San Antonio, TX",Texas
34794,"St. George, UT",Utah
33192,"Sacramento, CA",California
32575,"Santa Ana, CA",California
30140,"Albuquerque, NM",New Mexico
30721,"Boston, MA",Massachusetts
30849,"Bozeman, MT",Montana
34262,"Palm Springs, CA",California
34524,"Richmond, VA",Virginia
34689,"Santa Barbara, CA",California
30994,"Charleston, SC",South Carolina
30647,"Cleveland, OH",Ohio
33495,"New Orleans, LA",Louisiana
30198,"Pittsburgh, PA",Pennsylvania
31714,"Fort Myers, FL",Florida
30928,"Wichita, KS",Kansas
33044,"Louisville, KY",Kentucky
32337,"Indianapolis, IN",Indiana
33195,"Tampa, FL",Florida
35412,"Knoxville, TN",Tennessee
33244,"Memphis, TN",Tennessee
