Airline_ID,Origin_Airport_ID,Dest_Airport_ID,Month,Passengers,Freight,Distance,Mail,Aircraft_type,Ramp_To_Ramp,Departures_Scheduled,Departures_Performed,Class,Seats
20409,12954,11292,6,146,0,854,0,694,124,0,1,F,150
21171,11292,14771,6,117,0,967,0,698,144,0,1,F,119
21171,14771,11292,6,119,0,967,0,698,162,0,1,F,119
21080,11423,10325,6,2,0,604,0,646,120,0,1,L,8
20354,11292,11315,6,43,0,488,0,675,91,0,1,L,50
20354,11292,12389,6,41,0,576,0,675,200,0,2,L,100
20354,11315,11292,6,35,0,488,0,675,91,0,1,L,50
20354,11503,15016,6,22,0,889,0,675,131,0,1,L,50
20354,15016,11503,6,38,0,889,0,675,143,0,1,L,50
20354,12544,11503,6,0,0,1464,0,675,206,0,1,L,50
20201,10397,11292,6,0,800,1199,0,635,178,0,1,P,0
20201,11292,11996,6,0,0,1278,0,635,181,0,1,P,0
20368,11109,15570,6,156,0,761,0,622,132,0,1,L,215
20368,12889,11109,6,0,0,604,0,622,96,0,1,L,215
21352,10372,10800,6,3,0,725,0,684,122,0,1,L,8
21352,10800,11503,6,4,0,735,0,684,234,0,2,L,16
21352,11503,10800,6,3,0,735,0,684,233,0,2,L,16
21352,14869,10372,6,2,0,292,0,684,54,0,1,L,8
19805,11292,14107,6,62,0,602,0,699,164,0,1,L,187
19805,14100,11292,6,56,0,1558,0,699,260,0,1,L,187
19790,10397,11109,6,160,0,1184,0,622,169,0,1,F,199
19790,10397,11292,6,30,0,1199,0,698,212,0,1,F,132
19790,10397,11292,6,150,14,1199,39,699,174,0,1,F,192
19790,11109,10397,6,160,0,1184,0,622,166,0,1,F,199
19790,11109,11298,6,139,0,592,0,694,91,0,1,F,160
19790,11122,11292,6,103,492,230,0,608,83,0,1,F,110
19790,11292,10397,6,4,0,1199,0,698,153,0,1,F,132
19790,11292,10397,6,129,0,1199,0,699,173,0,1,F,192
19790,11292,10397,6,62,0,1199,0,622,167,0,1,L,72
19790,11292,11193,6,0,0,1069,0,622,142,0,1,L,72
19790,11292,11433,6,148,0,1123,0,655,158,0,1,F,149
19790,11292,11775,6,150,32,483,0,656,152,0,1,F,158
19790,11292,12889,6,149,0,628,0,656,118,0,1,F,158
19790,11292,14679,6,102,70,853,4,656,142,0,1,F,158
19790,11292,14869,6,50,0,391,0,622,92,0,1,L,72
19790,11433,11292,6,147,5,1123,0,655,178,0,1,F,149
19790,13487,11292,6,160,28,680,0,622,142,0,1,F,199
19790,13851,11292,6,156,0,495,226,656,115,0,1,F,158
19790,14771,11292,6,61,0,967,0,622,280,0,2,L,144
19790,14869,11292,6,52,0,391,0,622,84,0,1,L,72
20402,10529,11292,6,0,0,1671,0,614,275,0,1,L,173
20402,11109,16091,6,0,0,1136,0,614,160,0,1,L,173
20402,13796,11109,6,27,0,954,0,614,150,0,1,L,173
19977,10558,11292,6,126,4,150,0,698,48,0,1,F,128
19977,11292,11042,6,70,10064,1201,0,614,168,0,1,L,166
19977,11292,12448,6,152,0,967,282,614,218,0,1,F,166
19977,11292,12892,6,122,1,862,0,698,144,0,1,F,128
19977,11292,13303,6,174,0,1709,0,634,298,0,1,F,179
19977,11292,14524,6,163,0,1482,0,614,249,0,1,F,166
19977,13341,11292,6,58,10064,541,0,634,86,0,1,L,179
19977,11292,14771,6,200,0,967,0,887,206,0,1,F,219
19393,11109,11292,6,281,2628,73,0,612,83,0,2,F,286
19393,11233,11292,6,278,1614,90,0,612,96,0,2,F,286
19393,11233,11292,6,175,252,90,0,614,40,0,1,F,175
19393,11259,11109,6,141,1280,602,0,612,162,0,1,F,143
19393,11292,10792,6,142,151,1359,0,612,230,0,1,F,143
19393,11292,11140,6,160,167,929,0,614,167,0,1,F,175
19393,11292,11481,6,164,120,1250,0,614,212,0,1,F,175
19393,11292,11973,6,143,0,1095,0,612,170,0,1,F,143
19393,11292,11996,6,132,0,1278,0,612,225,0,1,F,143
19393,11292,12896,6,143,0,456,0,612,129,0,1,F,143
19393,11292,12992,6,165,0,771,0,614,128,0,1,F,175
19393,14831,11109,6,140,1348,943,0,612,162,0,1,F,143
19393,11109,11292,6,120,0,73,0,614,34,0,1,F,175
21652,10325,10423,6,1,0,764,0,515,144,0,1,L,8
21652,10325,13930,6,0,0,903,0,515,150,0,1,L,8
21652,10325,14831,6,1,0,937,0,688,144,0,1,L,12
21652,10423,10325,6,1,0,764,0,515,120,0,1,L,8
21652,11066,10325,6,0,0,1166,0,688,174,0,1,L,12
21652,14792,10372,6,6,0,919,0,515,144,0,1,L,8
20377,11292,12889,6,0,0,628,0,625,120,0,1,L,218
21161,10466,11292,6,30,0,595,0,617,195,0,2,L,358
21161,10747,11292,6,15,0,1049,0,617,162,0,1,L,179
21161,11292,13796,6,21,0,957,0,617,155,0,1,L,179
21161,11292,14275,6,0,0,1120,0,617,157,0,1,L,179
21161,11292,14869,6,45,0,391,0,617,266,0,3,L,537
21161,11563,11921,6,138,0,312,0,617,58,0,1,L,179
21161,11921,11563,6,138,0,312,0,617,67,0,1,L,179
21161,14576,11292,6,0,0,1413,0,617,210,0,1,L,179
21161,15370,11292,6,20,0,541,0,617,92,0,1,L,179
20372,11292,13796,6,0,8878,957,0,635,145,0,1,P,0
20372,11376,11292,6,0,8878,870,0,635,140,0,1,P,0
21635,11292,13342,6,14,0,896,0,669,129,0,1,L,16
21635,14570,11292,6,13,0,804,0,669,124,0,1,L,16
20422,11292,10590,6,286,0,632,0,614,473,0,2,L,324
20422,11719,10590,6,149,0,637,0,614,124,0,1,L,162
20422,10590,11292,6,129,0,632,0,614,213,0,1,L,162
20422,10590,11719,6,148,0,637,0,614,208,0,1,L,162
20422,10590,13502,6,93,0,436,0,614,209,0,1,L,162
20422,10590,14288,6,156,0,598,0,614,191,0,1,L,162
20422,13502,10590,6,93,0,436,0,614,207,0,1,L,162
20422,14288,10590,6,154,0,598,0,614,211,0,1,L,162
20447,11840,14288,6,0,270,1070,0,681,170,0,1,P,0
20447,14288,13796,6,0,270,967,0,681,175,0,1,P,0
20190,11193,11292,6,0,627144,1069,0,617,3922,0,22,P,0
20190,11292,11193,6,0,431309,1069,0,617,3620,0,22,P,0
19930,11109,11292,6,156,0,73,0,634,48,0,1,F,178
19930,14747,11109,6,156,0,1068,0,634,180,0,1,F,178
20237,10558,11292,6,49,0,150,0,675,55,0,1,F,50
20237,11292,13851,6,34,0,495,0,675,136,0,1,F,50
20225,10325,11292,6,5,0,22,0,456,32,0,1,F,30
20225,10558,11292,6,329,0,150,0,456,2622,0,44,F,1320
20225,11283,11292,6,116,0,292,0,456,1692,0,19,F,570
20225,11292,10558,6,343,0,150,0,456,2489,0,45,F,1350
20225,11292,11283,6,176,0,292,0,456,1912,0,23,F,690
20225,11292,11292,6,37,0,0,0,456,224,0,3,F,90
20225,11292,11468,6,645,0,305,0,456,4620,0,56,F,1680
20225,11292,12899,6,423,0,228,0,456,3481,0,48,F,1440
20225,11292,12902,6,82,0,280,0,456,1605,0,19,F,570
20225,11468,11292,6,600,0,305,0,456,5338,0,56,F,1680
20225,12899,11292,6,422,0,228,0,456,3700,0,48,F,1440
20225,12902,10325,6,5,0,274,0,456,100,0,1,F,30
20225,12902,11292,6,153,0,280,0,456,1830,0,21,F,630
20358,11292,14081,6,5,0,420,0,405,117,0,1,F,19
20358,14288,11711,6,5,0,231,0,405,79,0,1,F,19
21599,11292,11292,6,6,0,0,0,479,100,0,1,F,8
20354,10558,11292,6,20,0,150,0,675,60,1,1,F,50
20354,11292,10409,6,40,0,519,0,675,86,1,1,F,50
20354,11292,12389,6,34,0,576,0,675,106,1,1,F,50
20354,12389,11292,6,121,0,576,0,675,298,1,3,F,150
20368,11921,12889,6,113,0,420,0,698,78,1,1,F,156
20368,12889,11921,6,151,0,420,0,698,84,1,1,F,156
19805,11109,11292,6,150,450,73,266,614,42,1,1,F,160
