QUERY #1

          city_nm          | state_nm | airport |                   unique_carrier_name                   |   sum   
---------------------------+----------+---------+---------------------------------------------------------+---------
 Denver, CO                | Colorado | DEN     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |    2182
 Eagle, CO                 | Colorado | EGE     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |      22
 Colorado Springs, CO      | Colorado | COS     | Alaska Airlines Inc.                                    |     156
 Denver, CO                | Colorado | DEN     | Alaska Airlines Inc.                                    |   26216
 Colorado Springs, CO      | Colorado | COS     | Allegiant Air                                           |    2681
 Denver, CO                | Colorado | DEN     | Allegiant Air                                           |    1776
 Grand Junction, CO        | Colorado | GJT     | Allegiant Air                                           |    2301
 Colorado Springs, CO      | Colorado | COS     | American Airlines Inc.                                  |   14662
 Denver, CO                | Colorado | DEN     | American Airlines Inc.                                  |  151190
 Eagle, CO                 | Colorado | EGE     | American Airlines Inc.                                  |    2489
 Denver, CO                | Colorado | DEN     | Ameristar Air Cargo                                     |       0
 Aspen, CO                 | Colorado | ASE     | Avjet Corporation                                       |       3
 Eagle, CO                 | Colorado | EGE     | Avjet Corporation                                       |       3
 Alamosa, CO               | Colorado | ALS     | Boutique Air                                            |     623
 Cortez, CO                | Colorado | CEZ     | Boutique Air                                            |     772
 Denver, CO                | Colorado | DEN     | Boutique Air                                            |    2565
 Denver, CO                | Colorado | DEN     | CFM Inc d/b/a Contour Airlines                          |      14
 Grand Junction, CO        | Colorado | GJT     | Compass Airlines                                        |     126
 Colorado Springs, CO      | Colorado | COS     | Delta Air Lines Inc.                                    |    4454
 Denver, CO                | Colorado | DEN     | Delta Air Lines Inc.                                    |  122783
 Durango, CO               | Colorado | DRO     | Empire Airlines Inc.                                    |       0
 Denver, CO                | Colorado | DEN     | Endeavor Air Inc.                                       |     139
 Grand Junction, CO        | Colorado | GJT     | Envoy Air                                               |    5171
 Montrose/Delta, CO        | Colorado | MTJ     | Envoy Air                                               |     194
 Colorado Springs, CO      | Colorado | COS     | ExpressJet Airlines Inc.                                |    2167
 Denver, CO                | Colorado | DEN     | ExpressJet Airlines Inc.                                |      47
 Montrose/Delta, CO        | Colorado | MTJ     | ExpressJet Airlines Inc.                                |     916
 Colorado Springs, CO      | Colorado | COS     | Federal Express Corporation                             |       0
 Denver, CO                | Colorado | DEN     | Federal Express Corporation                             |       0
 Durango, CO               | Colorado | DRO     | Federal Express Corporation                             |       0
 Grand Junction, CO        | Colorado | GJT     | Federal Express Corporation                             |       0
 Hayden, CO                | Colorado | HDN     | Federal Express Corporation                             |       0
 Colorado Springs, CO      | Colorado | COS     | Frontier Airlines Inc.                                  |   15847
 Denver, CO                | Colorado | DEN     | Frontier Airlines Inc.                                  |  331181
 Denver, CO                | Colorado | DEN     | GoJet Airlines LLC d/b/a United Express                 |   47578
 Durango, CO               | Colorado | DRO     | GoJet Airlines LLC d/b/a United Express                 |    6090
 Eagle, CO                 | Colorado | EGE     | GoJet Airlines LLC d/b/a United Express                 |    1074
 Hayden, CO                | Colorado | HDN     | GoJet Airlines LLC d/b/a United Express                 |    1184
 Montrose/Delta, CO        | Colorado | MTJ     | GoJet Airlines LLC d/b/a United Express                 |    3280
 Denver, CO                | Colorado | DEN     | Great Lakes Airlines                                    |    1852
 Pueblo, CO                | Colorado | PUB     | Great Lakes Airlines                                    |     236
 Telluride, CO             | Colorado | TEX     | Great Lakes Airlines                                    |      11
 Colorado Springs, CO      | Colorado | COS     | Horizon Air                                             |    1004
 Denver, CO                | Colorado | APA     | Jet Aviation Flight Services, Inc.                      |       2
 Denver, CO                | Colorado | DEN     | JetBlue Airways                                         |   14821
 Denver, CO                | Colorado | DEN     | Kalitta Charters II                                     |       0
 Durango, CO               | Colorado | DRO     | Mesa Airlines Inc.                                      |    5087
 Montrose/Delta, CO        | Colorado | MTJ     | Mesa Airlines Inc.                                      |    2813
 Colorado Springs, CO      | Colorado | COS     | Miami Air International                                 |       0
 Denver, CO                | Colorado | DEN     | Omni Air International LLC                              |       0
 Denver, CO                | Colorado | APA     | Peninsula Airways Inc.                                  |       5


Query #2

          city_nm          | state_nm | airport |                   unique_carrier_name                   |   sum   
---------------------------+----------+---------+---------------------------------------------------------+---------
 Denver, CO                | Colorado | DEN     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |       0
 Eagle, CO                 | Colorado | EGE     | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |       0
 Colorado Springs, CO      | Colorado | COS     | Alaska Airlines Inc.                                    |       0
 Denver, CO                | Colorado | DEN     | Alaska Airlines Inc.                                    |    9894
 Colorado Springs, CO      | Colorado | COS     | Allegiant Air                                           |       0
 Denver, CO                | Colorado | DEN     | Allegiant Air                                           |       0
 Grand Junction, CO        | Colorado | GJT     | Allegiant Air                                           |       0
 Colorado Springs, CO      | Colorado | COS     | American Airlines Inc.                                  |     450
 Denver, CO                | Colorado | DEN     | American Airlines Inc.                                  |   24111
 Eagle, CO                 | Colorado | EGE     | American Airlines Inc.                                  |       0
 Denver, CO                | Colorado | DEN     | Ameristar Air Cargo                                     |       0
 Aspen, CO                 | Colorado | ASE     | Avjet Corporation                                       |       0
 Eagle, CO                 | Colorado | EGE     | Avjet Corporation                                       |       0
 Alamosa, CO               | Colorado | ALS     | Boutique Air                                            |       0
 Cortez, CO                | Colorado | CEZ     | Boutique Air                                            |       0
 Denver, CO                | Colorado | DEN     | Boutique Air                                            |       0
 Denver, CO                | Colorado | DEN     | CFM Inc d/b/a Contour Airlines                          |       0
 Grand Junction, CO        | Colorado | GJT     | Compass Airlines                                        |       0
 Colorado Springs, CO      | Colorado | COS     | Delta Air Lines Inc.                                    |    4997
 Denver, CO                | Colorado | DEN     | Delta Air Lines Inc.                                    |   59631
 Durango, CO               | Colorado | DRO     | Empire Airlines Inc.                                    |   40799
 Denver, CO                | Colorado | DEN     | Endeavor Air Inc.                                       |       0
 Grand Junction, CO        | Colorado | GJT     | Envoy Air                                               |     639
 Montrose/Delta, CO        | Colorado | MTJ     | Envoy Air                                               |       1
 Colorado Springs, CO      | Colorado | COS     | ExpressJet Airlines Inc.                                |       0
 Denver, CO                | Colorado | DEN     | ExpressJet Airlines Inc.                                |       0
 Montrose/Delta, CO        | Colorado | MTJ     | ExpressJet Airlines Inc.                                |       0
 Colorado Springs, CO      | Colorado | COS     | Federal Express Corporation                             |  702215
 Denver, CO                | Colorado | DEN     | Federal Express Corporation                             | 8084832
 Durango, CO               | Colorado | DRO     | Federal Express Corporation                             |   40799
 Grand Junction, CO        | Colorado | GJT     | Federal Express Corporation                             |  746792
 Hayden, CO                | Colorado | HDN     | Federal Express Corporation                             |   11749
 Colorado Springs, CO      | Colorado | COS     | Frontier Airlines Inc.                                  |       0
 Denver, CO                | Colorado | DEN     | Frontier Airlines Inc.                                  |       0
 Denver, CO                | Colorado | DEN     | GoJet Airlines LLC d/b/a United Express                 |       0
 Durango, CO               | Colorado | DRO     | GoJet Airlines LLC d/b/a United Express                 |       0
 Eagle, CO                 | Colorado | EGE     | GoJet Airlines LLC d/b/a United Express                 |       0
 Hayden, CO                | Colorado | HDN     | GoJet Airlines LLC d/b/a United Express                 |       0
 Montrose/Delta, CO        | Colorado | MTJ     | GoJet Airlines LLC d/b/a United Express                 |       0
 Denver, CO                | Colorado | DEN     | Great Lakes Airlines                                    |       0
 Pueblo, CO                | Colorado | PUB     | Great Lakes Airlines                                    |       0
 Telluride, CO             | Colorado | TEX     | Great Lakes Airlines                                    |       0
 Colorado Springs, CO      | Colorado | COS     | Horizon Air                                             |       0
 Denver, CO                | Colorado | APA     | Jet Aviation Flight Services, Inc.                      |       0
 Denver, CO                | Colorado | DEN     | JetBlue Airways                                         |       0
 Denver, CO                | Colorado | DEN     | Kalitta Charters II                                     |    8878
 Durango, CO               | Colorado | DRO     | Mesa Airlines Inc.                                      |    1560
 Montrose/Delta, CO        | Colorado | MTJ     | Mesa Airlines Inc.                                      |       0
 Colorado Springs, CO      | Colorado | COS     | Miami Air International                                 |       0
 Denver, CO                | Colorado | DEN     | Omni Air International LLC                              |       0
 Denver, CO                | Colorado | APA     | Peninsula Airways Inc.                                  |       0
 Denver, CO                | Colorado | DEN     | Peninsula Airways Inc.                                  |       0
 Colorado Springs, CO      | Colorado | COS     | Republic Airlines                                       |       0
 Denver, CO                | Colorado | DEN     | Republic Airlines                                       |       0
 Aspen, CO                 | Colorado | ASE     | SkyWest Airlines Inc.                                   |       0
 Colorado Springs, CO      | Colorado | COS     | SkyWest Airlines Inc.                                   |       0
 Denver, CO                | Colorado | DEN     | SkyWest Airlines Inc.                                   |       0
 Durango, CO               | Colorado | DRO     | SkyWest Airlines Inc.                                   |       0
 Grand Junction, CO        | Colorado | GJT     | SkyWest Airlines Inc.                                   |       0
 Montrose/Delta, CO        | Colorado | MTJ     | SkyWest Airlines Inc.                                   |       0
 Denver, CO                | Colorado | DEN     | Southern Air Inc.                                       |  431309
 Colorado Springs, CO      | Colorado | COS     | Southwest Airlines Co.                                  |    5256
 Denver, CO                | Colorado | DEN     | Southwest Airlines Co.                                  | 2716196
 Denver, CO                | Colorado | DEN     | Spirit Air Lines                                        |       0
 Denver, CO                | Colorado | DEN     | Sun Country Airlines d/b/a MN Airlines                  |     122
 Fort Collins/Loveland, CO | Colorado | FNL     | Sun Country Airlines d/b/a MN Airlines                  |       0
 Montrose/Delta, CO        | Colorado | MTJ     | Sun Country Airlines d/b/a MN Airlines                  |       0
 Pueblo, CO                | Colorado | PUB     | Sun Country Airlines d/b/a MN Airlines                  |       0
 Denver, CO                | Colorado | DEN     | Swift Air, LLC                                          |       0
 Grand Junction, CO        | Colorado | GJT     | Swift Air, LLC                                          |       0
 Colorado Springs, CO      | Colorado | COS     | Trans States Airlines                                   |       0
 Denver, CO                | Colorado | DEN     | Trans States Airlines                                   |       0
 Durango, CO               | Colorado | DRO     | Trans States Airlines                                   |       0
 Grand Junction, CO        | Colorado | GJT     | Trans States Airlines                                   |       0
 Gunnison, CO              | Colorado | GUC     | Trans States Airlines                                   |       0
 Hayden, CO                | Colorado | HDN     | Trans States Airlines                                   |       0
 Montrose/Delta, CO        | Colorado | MTJ     | Trans States Airlines                                   |       0
 Denver, CO                | Colorado | DEN     | United Air Lines Inc.                                   | 1666054
 Denver, CO                | Colorado | DEN     | United Parcel Service                                   | 5645325
 Pueblo, CO                | Colorado | PUB     | USA Jet Airlines Inc.                                   |     270
 Denver, CO                | Colorado | DEN     | Via Airlines d/b/a Charter Air Transport                |       0
 Denver, CO                | Colorado | DEN     | Virgin America                                          |       0


Query #3

-----------------------------+----------------+---------------------------+---------------------------------------------------------+--------
 Albany, NY                   | New York       | Denver, CO                | Southwest Airlines Co.                                  |   7906
 Albuquerque, NM              | New Mexico     | Alamosa, CO               | Boutique Air                                            |    114
 Albuquerque, NM              | New Mexico     | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |    210
 Albuquerque, NM              | New Mexico     | Denver, CO                | Republic Airlines                                       |   1423
 Albuquerque, NM              | New Mexico     | Denver, CO                | SkyWest Airlines Inc.                                   |   2037
 Albuquerque, NM              | New Mexico     | Denver, CO                | Southwest Airlines Co.                                  |  22766
 Albuquerque, NM              | New Mexico     | Denver, CO                | Trans States Airlines                                   |   1561
 Albuquerque, NM              | New Mexico     | Denver, CO                | United Air Lines Inc.                                   |  10228
 Albuquerque, NM              | New Mexico     | Durango, CO               | Empire Airlines Inc.                                    |      0
 Albuquerque, NM              | New Mexico     | Durango, CO               | Federal Express Corporation                             |      0
 Alliance, NE                 | Nebraska       | Denver, CO                | Boutique Air                                            |    348
 Amarillo, TX                 | Texas          | Denver, CO                | SkyWest Airlines Inc.                                   |    143
 Amarillo, TX                 | Texas          | Denver, CO                | Trans States Airlines                                   |   2218
 Anchorage, AK                | Alaska         | Denver, CO                | United Air Lines Inc.                                   |  10854
 Atlanta, GA                  | Georgia        | Colorado Springs, CO      | Delta Air Lines Inc.                                    |   4432
 Atlanta, GA                  | Georgia        | Denver, CO                | Ameristar Air Cargo                                     |      0
 Atlanta, GA                  | Georgia        | Denver, CO                | Delta Air Lines Inc.                                    |  38405
 Atlanta, GA                  | Georgia        | Denver, CO                | Frontier Airlines Inc.                                  |   9485
 Atlanta, GA                  | Georgia        | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |   1231
 Atlanta, GA                  | Georgia        | Denver, CO                | Republic Airlines                                       |    459
 Atlanta, GA                  | Georgia        | Denver, CO                | SkyWest Airlines Inc.                                   |   2027
 Atlanta, GA                  | Georgia        | Denver, CO                | Southwest Airlines Co.                                  |  43812
 Atlanta, GA                  | Georgia        | Denver, CO                | United Air Lines Inc.                                   |  17960
 Austin, TX                   | Texas          | Denver, CO                | Frontier Airlines Inc.                                  |   6530
 Austin, TX                   | Texas          | Denver, CO                | GoJet Airlines LLC d/b/a United Express                 |   1961
 Austin, TX                   | Texas          | Denver, CO                | Jet Aviation Flight Services, Inc.                      |      1
 Austin, TX                   | Texas          | Denver, CO                | Republic Airlines                                       |   1627
 Austin, TX                   | Texas          | Denver, CO                | SkyWest Airlines Inc.                                   |   2000
 Austin, TX                   | Texas          | Denver, CO                | Southwest Airlines Co.                                  |  40246
 Austin, TX                   | Texas          | Denver, CO                | United Air Lines Inc.                                   |  17336
